idCaida_Libre,tiempo_X,Tipo_Var_X,ExpAltura_y,Tipo_Var_Y,Experimento_id_Experimento
1,1.652,(s),0,(E),8
2,1.101,(s),1,(E),8
3,6.057,(s),2,(E),8
4,11.013,(s),3,(E),8
5,8.259,(s),4,(E),8
6,1.652,(s),0,(E),15
7,0.551,(s),1,(E),15
8,1.652,(s),2,(E),15
9,3.855,(s),3,(E),15
10,1.652,(s),4,(E),15
11,3.304,(s),5,(E),15
12,1.652,(s),6,(E),15
13,1.652,(s),7,(E),15
14,1.652,(s),8,(E),15
15,2.753,(s),9,(E),15
16,2.753,(s),10,(E),15
17,0.301,(s),0,(E),18
18,0.05,(s),1,(E),18
19,0.3,(s),2,(E),18
20,0.3,(s),3,(E),18
21,0.3,(s),4,(E),18
22,0.551,(s),0,(E),20
23,0.55,(s),1,(E),20
24,1.652,(s),0,(E),21
25,0.551,(s),1,(E),21
26,0.901,(s),0,(E),23
27,0.199,(s),1,(E),23
28,0.4,(s),2,(E),23
29,8.504,(s),3,(E),23
